Month,Barter,Cost
1,Value,1759.124088
2,Value,1781.021898
3,Value,1817.518248
4,Value,1218.978102
5,Value,1080.291971
6,Value,1430.656934
7,Value,802.919708
8,Value,2014.59854
9,Value,1372.262774
10,Value,2357.664234
11,Value,2854.014599
12,Value,1686.131387
1,After Barters,1284.671533
2,After Barters,1664.233577
3,After Barters,1350.364964
4,After Barters,1109.489051
5,After Barters,700.729927
6,After Barters,1021.89781
7,After Barters,598.540146
8,After Barters,948.9051095
9,After Barters,875.9124088
10,After Barters,817.5182482
11,After Barters,2343.065693
12,After Barters,1489.051095
