,CalendarYear,,SpeciesGroup,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Area,Turtle,Turtle,,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,
Bribie Island,,,,,,,,,,,,,,,,,,,,,,1,,,1
Bundaberg,12,7,,5,8,5,2,5,5,6,11,9,3,1,5,7,1,,,,,,,1,93
Cairns,4,6,,1,3,2,4,2,5,4,3,2,2,,,,,,,,,,,,38
Capricorn Coast,,2,,2,,,,,1,1,,,2,4,,1,,,1,,,3,10,2,29
Gladstone,,1,,3,8,4,2,,,,,,,,,,,,,1,1,3,2,,25
Gold Coast,27,22,,8,4,8,8,6,4,5,9,10,8,9,9,5,10,10,13,6,10,4,18,2,215
Mackay,2,5,,4,3,1,8,,1,,,2,1,1,,,,,,,,,,,28
Nth Stradbroke Is.,6,6,,14,8,9,6,5,8,1,,,1,1,,2,2,3,,,3,12,8,1,96
Rainbow Beach,2,1,,3,16,45,30,24,19,13,7,4,7,4,3,,6,6,19,18,19,26,29,4,305
Sunshine Coast North,6,2,,2,2,5,3,4,,4,,1,3,,1,3,,4,,5,3,4,5,,57
Sunshine Coast South,,,,,,,,,,,,,,,,,,,,1,1,,4,,6
Sunshine Coast South & Bribie Island,4,11,,5,10,1,2,,,1,3,4,2,2,1,2,6,2,,,,,,,56
Townsville,3,2,,5,1,1,2,1,,1,3,1,,,1,2,1,1,,2,,3,,,30
Grand Total,66,65,,52,63,81,67,47,43,36,36,33,29,22,20,22,26,26,33,33,37,56,76,10,979
